"Site_ID","Round","Plant_gen_sp","Flower_abundance"
"Lacuña",6,"Cistus salvifolius",56
"Lacuña",6,"Echium plantagineum",2
"Lacuña",6,"Euphorbia sp",12
"Lacuña",6,"Lavandula pedunculata",1040
"Lacuña",6,"Leucojum autumnale",2
"Lacuña",6,"Tuberaria guttata",6
"Lacuña",7,"Andryala integriflora",10
"Lacuña",7,"Echium plantagineum",2
"Lacuña",7,"Silene scabriflora",4
"LaRocina",1,"Halimium commutatum",6
"LaRocina",1,"Rosmarinus officinalis",23
"LaRocina",2,"Halimium commutatum",180
"LaRocina",2,"Rosmarinus officinalis",60
"LaRocina",3,"Diplotaxis virgata",13
"LaRocina",3,"Fritillaria lusitanica",1
"LaRocina",3,"Halimium commutatum",233
"LaRocina",3,"Linaria viscosa",4
"LaRocina",3,"Rosmarinus Officinalis",436
"LaRocina",3,"Spartium junceum",2
"LaRocina",4,"Diplotaxis virgata",32
"LaRocina",4,"Halimium commutatum",394
"LaRocina",4,"Lavandula pedunculata",350
"LaRocina",4,"Malcomia lacera",63
"LaRocina",4,"Rosmarinus Officinalis",140
"LaRocina",4,"Spartium junceum",175
"LaRocina",5,"Diplotaxis virgata",36
"LaRocina",5,"Halimium commutatum",24
"LaRocina",5,"Lavandula pedunculata",102
"LaRocina",5,"Leucojum autumnale",2
"LaRocina",5,"Linaria viscosa",2
"LaRocina",5,"Malcomia lacera",533
"LaRocina",5,"Rosmarinus Officinalis",31
"LaRocina",5,"Spartium junceum",154
"LaRocina",6,"Centaurium calcitrapa",76
"LaRocina",6,"Diplotaxis virgata",9
"LaRocina",6,"Halimium commutatum",3
"LaRocina",6,"Lavandula pedunculata",2420
"LaRocina",6,"Linaria viscosa",13
"LaRocina",6,"Malcomia lacera",241
"LaRocina",6,"Rosmarinus Officinalis",20
"LaRocina",6,"Spartium junceum",185
"LaRocina",6,"Tuberaria guttata",2
"Lasmulas",1,"Rosmarinus officinalis",30
"Lasmulas",2,"Cistus ladanifer",1
"Lasmulas",2,"Rosmarinus officinalis",243
"Lasmulas",3,"Cistus ladanifer",3
"Lasmulas",3,"Cistus salvifolius",1
"Lasmulas",3,"Halimium commutatum",10
"Lasmulas",3,"Lavandula stoechas",30
"Lasmulas",3,"Rosmarinus Officinalis",135
"Lasmulas",4,"Cistus ladanifer",17
"Lasmulas",4,"Erica scoparia",1100
"Lasmulas",4,"Halimium commutatum",63
"Lasmulas",4,"Lavandula stoechas",340
"Lasmulas",4,"Ranunculus sp",7
"Lasmulas",4,"Rosmarinus Officinalis",340
"Lasmulas",5,"Cistus ladanifer",15
"Lasmulas",5,"Cistus salvifolius",23
"Lasmulas",5,"Echium plantagineum",1
"Lasmulas",5,"Lavandula stoechas",2
"Lasmulas",5,"Rosmarinus Officinalis",110
"Lasmulas",5,"Tuberaria guttata",14
"Lasmulas",6,"Anarrhinum sp",20
"Lasmulas",6,"Cistus crispus",40
"Lasmulas",6,"Cistus monspeliensis",63
"Lasmulas",6,"Echium plantagineum",27
"Lasmulas",6,"Genista hirsuta",100
"Lasmulas",6,"Halimium halimifolium",13
"Lasmulas",6,"Lavandula stoechas",40
"Lasmulas",6,"Rosmarinus Officinalis",62
"Lasmulas",7,"Anarrhinum sp",600
"Lasmulas",7,"CIstus crispus",60
"Lasmulas",7,"Gladiolus italicus",2
"Lasmulas",7,"Halimium halimifolium",36
"Lasmulas",7,"Malcomia lacera",15
"Niebla",1,"Asphodelus fistulosus",18
"Niebla",2,"Asphodelus fistulosus",10
"Niebla",2,"Raphanus raphanistrum",7
"Niebla",3,"Astragalus lusitanicus",110
"Niebla",3,"Lavandula stoechas",120
"Niebla",3,"Leontodon sp",9
"Niebla",3,"Lupinus angustifolius",9
"Niebla",3,"Raphanus raphanistrum",12
"Niebla",4,"Calendula arvensis",31
"Niebla",4,"Cistus monspeliensis",3
"Niebla",4,"Lavandula pedunculata",910
"Niebla",4,"Leontodon sp",6
"Niebla",4,"Lupinus angustifolius",33
"Niebla",4,"Phlomis purpurea",10
"Niebla",4,"Raphanus raphanistrum",70
"Niebla",4,"Ulex australis",30
"Niebla",5,"Calendula arvensis",15
"Niebla",5,"Cistus monspeliensis",112
"Niebla",5,"Diplotaxis virgata",28
